epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6694.8,0.72715,0.64844,0.93505,0.9523,0.98203,0.98323,0.85446,0.57932,0.34102,0.84518,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6901.2,0.7261,0.64162,0.93376,0.95027,0.9853,0.98252,0.85209,0.576,0.34021,0.84747,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7108.35,0.72588,0.64461,0.93374,0.94478,0.98933,0.98165,0.85967,0.55396,0.33854,0.83934,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7315.58,0.71601,0.63224,0.93003,0.95781,0.97953,0.98362,0.85316,0.58241,0.33587,0.84666,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7523.55,0.72218,0.64339,0.9314,0.95758,0.98138,0.98384,0.86855,0.53588,0.32886,0.83589,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7731.48,0.71803,0.63802,0.93028,0.9536,0.98289,0.9826,0.87231,0.515,0.32205,0.8295,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7938.33,0.71405,0.62998,0.92683,0.95935,0.97841,0.98351,0.85961,0.56618,0.32742,0.84177,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8144.21,0.71115,0.63127,0.9269,0.96151,0.97883,0.9853,0.87155,0.53018,0.31654,0.83301,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8353.43,0.71371,0.63057,0.92787,0.96038,0.9811,0.98416,0.85425,0.57793,0.32605,0.84444,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8560.32,0.70708,0.62444,0.92641,0.95726,0.9829,0.98404,0.86001,0.55756,0.3238,0.83909,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
