epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6298.05,0.70525,0.59922,0.92577,0.95141,0.98536,0.98256,0.85482,0.57691,0.34353,0.84459,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6486.61,0.69361,0.59021,0.92452,0.94852,0.99176,0.98211,0.85805,0.566,0.33809,0.84266,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6675.93,0.69143,0.58582,0.92348,0.95089,0.98558,0.98166,0.86667,0.53097,0.3301,0.83426,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6865.11,0.68393,0.58074,0.91868,0.96049,0.98069,0.98438,0.87046,0.53251,0.3281,0.83415,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7053.5,0.67504,0.57133,0.91769,0.95395,0.98655,0.98305,0.86739,0.53923,0.33073,0.83484,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7242.59,0.67438,0.57252,0.91829,0.95211,0.9896,0.98336,0.87114,0.5264,0.32723,0.83174,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7430.93,0.66882,0.56463,0.91355,0.95224,0.98707,0.98248,0.86719,0.53675,0.32527,0.83449,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7620.33,0.66532,0.56227,0.91503,0.95336,0.98886,0.98306,0.8707,0.52785,0.32159,0.83203,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7809.22,0.65845,0.55364,0.90998,0.9563,0.98767,0.98418,0.87151,0.52826,0.32185,0.83197,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7969.94,0.53488,0.35121,0.89885,0.95279,0.99171,0.98358,0.87678,0.51021,0.31884,0.82804,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8130.8,0.52605,0.34149,0.89599,0.95337,0.98829,0.98353,0.87869,0.50678,0.31723,0.82703,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8291.19,0.51257,0.33485,0.88754,0.95952,0.98608,0.98506,0.88273,0.49694,0.30827,0.82475,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8451.7,0.50543,0.32764,0.88384,0.95861,0.98494,0.98494,0.88657,0.48478,0.30417,0.82165,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8612.29,0.49645,0.3238,0.87912,0.95868,0.98411,0.98468,0.88862,0.47947,0.30373,0.82023,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8772.85,0.48923,0.32006,0.87609,0.96025,0.98447,0.98563,0.8903,0.47733,0.29897,0.81993,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8933.37,0.48246,0.3132,0.87069,0.96281,0.98215,0.98579,0.89068,0.4759,0.29698,0.81927,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,9093.79,0.47602,0.30714,0.86985,0.96177,0.98393,0.98567,0.89099,0.4739,0.2947,0.81859,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,9254.39,0.47069,0.30504,0.86715,0.96137,0.98401,0.98562,0.89276,0.46776,0.2927,0.81734,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9414.9,0.46483,0.30211,0.86364,0.96292,0.98326,0.9857,0.89408,0.46534,0.29172,0.81691,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
