epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3206.21,0.79366,0.80667,0.84367,0.92796,0.96533,0.97625,0.83378,0.59269,0.406,0.78769,4.07762e-05,4.07762e-05,4.07762e-05
41,3276.62,0.60808,0.46178,0.82132,0.9241,0.96244,0.97495,0.8346,0.58647,0.41579,0.78733,3.7232e-05,3.7232e-05,3.7232e-05
42,3346.78,0.58003,0.44074,0.81446,0.92314,0.96715,0.97515,0.83201,0.59211,0.41364,0.78799,3.36878e-05,3.36878e-05,3.36878e-05
43,3418.43,0.57178,0.43394,0.8137,0.92506,0.96545,0.97565,0.83111,0.5963,0.4124,0.78818,3.01436e-05,3.01436e-05,3.01436e-05
44,3490.83,0.56534,0.4291,0.81217,0.92387,0.96835,0.97591,0.83229,0.59183,0.40974,0.78798,2.65994e-05,2.65994e-05,2.65994e-05
45,3563.31,0.56221,0.43043,0.81065,0.92409,0.96843,0.97574,0.83479,0.58877,0.40794,0.78796,2.30552e-05,2.30552e-05,2.30552e-05
46,3632.5,0.56153,0.42852,0.81112,0.92483,0.96765,0.97581,0.83297,0.5951,0.40929,0.78841,1.9511e-05,1.9511e-05,1.9511e-05
47,3700.76,0.56135,0.42594,0.81139,0.92408,0.96793,0.97565,0.8341,0.59046,0.40721,0.78806,1.59668e-05,1.59668e-05,1.59668e-05
48,3768.58,0.56048,0.42706,0.81015,0.9246,0.969,0.97586,0.83458,0.58961,0.40685,0.78803,1.24226e-05,1.24226e-05,1.24226e-05
49,3836.94,0.55834,0.42441,0.81026,0.92476,0.96943,0.97588,0.83666,0.58486,0.40536,0.78766,8.8784e-06,8.8784e-06,8.8784e-06
50,3905.06,0.55965,0.42638,0.81196,0.92555,0.96859,0.976,0.83552,0.58774,0.40598,0.78779,5.3342e-06,5.3342e-06,5.3342e-06
